site,date,detect,files_n,effort_min,prob_day_max,prob_day_mean
20250407,,1,2,2.0,0.994461536,0.6475465868333333
2MM02629,2024-11-07,1,12,11.833333333333334,0.89290607,0.06387327271948964
2MM02629,2024-11-08,1,192,196.0,0.960860789,0.05003093880034722
2MM02629,2024-11-09,1,193,195.0,0.999492526,0.0696807169775475
2MM02629,2024-11-10,1,190,190.0,0.953767359,0.08785544458508772
2MM02629,2024-11-11,1,145,144.16666666666666,0.999628186,0.13300529286034485
2MM02922,2025-04-25,0,2,1.1666666666666667,0.001565384,0.000305086089
2MM02967,2024-10-27,1,666,665.1666666666666,0.931995988,0.05006555317309985
2MM02967,2024-10-28,1,1440,1440.0,0.668755949,0.00488750649494213
2MM02967,2024-10-29,1,685,685.0,0.999647856,0.07753089326147956
2MM03008,2024-11-08,1,190,190.0,0.99944216,0.08029131657710527
2MM03008,2024-11-09,1,190,190.0,0.999750793,0.06211909482105263
2MM03008,2024-11-10,1,190,190.0,0.999785364,0.06687909894824562
2MM03008,2024-11-11,1,190,190.0,0.999135435,0.08775679376929824
2MM03008,2024-11-12,1,66,66.0,0.654040873,0.023310062838383837
2MM03293,2024-10-27,1,900,899.1666666666666,0.998818457,0.038049107368722225
2MM03293,2024-10-28,0,108,108.0,0.158225507,0.004401818174691358
2MM03346,2024-11-07,1,63,62.0,0.529351354,0.051049801809656084
2MM03346,2024-11-08,1,172,172.0,0.997300565,0.06775194760562014
2MM03346,2024-11-09,1,95,95.0,0.962569594,0.07854296114385964
2MM03346,2024-11-10,1,105,105.0,0.99972719,0.1473911376015873
2MM03352,2024-12-12,1,333,334.0,0.665563703,0.03623798890722022
2MM03352,2024-12-13,1,540,540.0,0.993203998,0.039166402797839506
2MM03352,2024-12-14,0,246,245.33333333333334,0.497517228,0.019453465513821138
2MM03352,2025-04-21,1,4,2.5,0.53477639,0.035278698275
2MM03352,2025-04-25,1,5,2.333333333333333,0.789178193,0.15437418110184
2MM03358,2024-10-27,1,784,784.0,0.592341125,0.029846396897745958
2MM03358,2024-10-28,1,244,243.33333333333334,0.998444974,0.00878449894057377
CCMNP-S-B2,2025-04-21,0,1,0.3333333333333333,0.000838984,0.000460592
CCMNP-S-B4,2025-05-03,0,1,0.3333333333333333,0.056316447,0.0281594435
CCMNP-S-R,2025-04-21,0,2,1.1666666666666667,0.040775791,0.0165530956
CCMNP-S-R,2025-04-25,0,5,2.833333333333333,0.146757379,0.0089498794
CCMNP-S-R,2025-05-13,0,10,7.166666666666667,0.228646994,0.017410077538333336
CCMNP-S-R1,2025-05-13,1,5,2.5,0.740594387,0.06428012556666668
CCMNP-S-R1,2025-05-14,1,584,584.0,0.568953276,0.006518281347392837
CCMNP-S-R1,2025-05-15,1,1440,1440.0,0.999756992,0.03258464236614965
CCMNP-S-R1,2025-05-16,1,618,617.3333333333334,0.993190825,0.05548734816030205
CCMNP-S-R10,2025-05-03,1,616,614.8333333333334,0.760000288,0.010969024826561986
CCMNP-S-R10,2025-05-04,1,772,772.0,0.999410987,0.08056637103454231
CCMNP-S-R12,2025-05-02,1,922,920.6666666666666,0.998780549,0.050630775602543185
CCMNP-S-R12,2025-05-03,1,1440,1440.0,0.99976939,0.01985309402112778
CCMNP-S-R12,2025-05-04,1,1440,1440.0,0.999950886,0.03690901770703008
CCMNP-S-R12,2025-05-05,0,55,55.0,0.358768702,0.02223339999090909
CCMNP-S-R3,2025-05-13,1,683,682.1666666666666,0.953036249,0.013972779654986334
CCMNP-S-R3,2025-05-14,1,1440,1440.0,0.997845888,0.017649079863944688
CCMNP-S-R3,2025-05-15,1,1440,1442.0,0.993373036,0.01454501976010301
CCMNP-S-R3,2025-05-16,1,303,302.3333333333333,0.820532382,0.01960084879757976
CCMNP-S-R5,2025-04-25,1,457,456.8333333333333,0.635430455,0.006291969126055434
CCMNP-S-R5,2025-04-26,1,1359,1359.0,0.993049741,0.04309663175208487
CCMNP-S-R5,2025-04-27,1,617,617.0,0.999685407,0.12979946875202591
CCMNP-S-R7,2025-04-25,1,773,772.3333333333334,0.831519663,0.012797149889561233
CCMNP-S-R7,2025-04-26,1,1440,1440.0,0.999884963,0.024408436249475463
CCMNP-S-R7,2025-04-27,1,527,526.5,0.937891245,0.03538072956707811
CCMNP-S-R7,2025-05-14,0,2,1.3333333333333333,0.000582524,9.648562499999999e-05
CCMNP-S-R8,2025-04-25,1,781,779.8333333333334,0.948114634,0.008663760724170721
CCMNP-S-R8,2025-04-26,1,1440,1440.0,0.991708338,0.01187034922809178
CCMNP-S-R8,2025-04-27,1,603,603.0,0.992761791,0.02675005642111111
